Fecha;Coeficiente
2014-09;1,1721
2015-03;1,1826
2015-09;1,1449
2016-03;1,1535
2016-09;1,1416
2017-03;1,1296
2017-09;1,1332
2018-03;1,0571
2018-06;1,0569
2018-09;1,0667
2018-12;1,0778
2019-03;1,1183
2019-06;1,1074
2019-09;1,1222
2019-12;1,0874
2020-03;
2020-06;1,0612
2020-09;1,075
2020-12;1,05
2021-03;1,0807
2021-06;1,1212
2021-09;1,1239
2021-12;1,1211
2022-03;1,1228
2022-06;1,15
2022-09;1,1553
2022-12;1,1562
2023-03;1,1704
2023-06;1,2092
2023-09;1,2329
2023-12;1,2087
2024-03;1,2718
2024-04;1,274
2024-05;1,1101
2024-06;1,0883
2024-07;1,0418
2024-08;1,0458
2024-09;1,0403
2024-10;1,0417
2024-11;1,0347
2024-12;1,0269
2025-01;1,0243
2025-02;1,027
2025-03;1,0221
2025-04;1,024
2025-05;1,0373
2025-06;1,0278
